,LENGTH,WIDTH,HEIGHT
0,11.0,10.7,2.2
1,11.0,10.7,2.2
2,11.0,10.7,2.2
3,11.0,10.7,2.2
4,11.0,10.7,2.2
5,11.0,10.7,2.2
6,11.0,10.7,2.2
7,11.0,10.7,2.2
8,11.0,10.7,2.2
9,11.0,10.7,2.2
10,11.0,10.7,2.2
11,11.0,10.7,2.2
12,11.0,10.7,2.2
13,11.0,10.7,2.2
14,11.0,10.7,2.2
15,11.0,10.7,2.2
16,11.0,10.7,2.2
17,11.0,10.7,2.2
18,11.0,10.7,2.2
19,11.0,10.7,2.2
20,11.0,10.7,2.2
21,11.0,10.7,2.2
22,11.0,10.7,2.2
23,11.0,10.7,2.2
24,11.0,10.7,2.2
25,11.0,10.7,2.2
26,11.0,10.7,2.2
27,18.0,5.0,3.0
28,18.0,5.0,3.0
29,18.0,5.0,3.0
30,18.0,5.0,3.0
31,18.0,5.0,3.0
32,18.0,5.0,3.0
33,18.0,5.0,3.0
34,18.0,5.0,3.0
35,18.0,5.0,3.0
36,18.0,5.0,3.0
37,18.0,5.0,3.0
38,18.0,5.0,3.0
39,18.0,5.0,3.0
40,18.0,5.0,3.0
41,18.0,5.0,3.0
42,18.0,5.0,3.0
43,18.0,5.0,3.0
44,18.0,5.0,3.0
45,18.0,5.0,3.0
46,18.0,5.0,3.0
47,18.0,5.0,3.0
48,18.0,5.0,3.0
49,18.0,5.0,3.0
50,18.0,5.0,3.0
51,18.0,5.0,3.0
52,18.0,5.0,3.0
53,18.0,5.0,3.0
54,18.0,5.0,3.0
55,18.0,5.0,3.0
56,18.0,5.0,3.0
57,18.0,5.0,3.0
58,18.0,5.0,3.0
59,18.0,5.0,3.0
60,18.0,5.0,3.0
61,18.0,5.0,3.0
62,18.0,5.0,3.0
63,18.0,5.0,3.0
64,18.0,5.0,3.0
65,18.0,5.0,3.0
66,18.0,5.0,3.0
67,18.0,5.0,3.0
68,18.0,5.0,3.0
69,18.0,5.0,3.0
70,18.0,5.0,3.0
71,18.0,5.0,3.0
72,18.0,5.0,3.0
73,18.0,5.0,3.0
74,18.0,5.0,3.0
75,18.0,5.0,3.0
76,18.0,5.0,3.0
77,18.0,5.0,3.0
78,18.0,5.0,3.0
79,18.0,5.0,3.0
80,18.0,5.0,3.0
81,18.0,5.0,3.0
82,18.0,5.0,3.0
83,18.0,5.0,3.0
84,18.0,5.0,3.0
85,18.0,5.0,3.0
86,18.0,5.0,3.0
87,18.0,5.0,3.0
88,18.0,5.0,3.0
89,18.0,5.0,3.0
90,18.0,5.0,3.0
91,18.0,5.0,3.0
92,18.0,5.0,3.0
93,18.0,5.0,3.0
94,18.0,5.0,3.0
95,18.0,5.0,3.0
96,18.0,5.0,3.0
97,18.0,5.0,3.0
98,18.0,5.0,3.0
99,18.0,5.0,3.0
100,18.0,5.0,3.0
101,18.0,5.0,3.0
102,18.0,5.0,3.0
103,18.0,5.0,3.0
104,18.0,5.0,3.0
105,18.0,5.0,3.0
106,18.0,5.0,3.0
107,18.0,5.0,3.0
108,18.0,5.0,3.0
109,18.0,5.0,3.0
110,18.0,5.0,3.0
111,18.0,5.0,3.0
112,18.0,5.0,3.0
113,18.0,5.0,3.0
114,18.0,5.0,3.0
115,22.0,4.9,2.9
116,22.0,4.9,2.9
117,22.0,4.9,2.9
118,22.0,4.9,2.9
119,22.0,4.9,2.9
120,22.0,4.9,2.9
121,22.0,4.9,2.9
122,22.0,4.9,2.9
123,22.0,4.9,2.9
124,22.0,4.9,2.9
125,22.0,4.9,2.9
126,22.0,4.9,2.9
127,22.0,4.9,2.9
128,22.0,4.9,2.9
129,22.0,4.9,2.9
130,22.0,4.9,2.9
131,22.0,4.9,2.9
132,22.0,4.9,2.9
133,22.0,4.9,2.9
134,22.0,4.9,2.9
135,22.0,4.9,2.9
136,22.0,4.9,2.9
137,22.0,4.9,2.9
138,22.0,4.9,2.9
139,22.0,4.9,2.9
140,22.0,4.9,2.9
141,22.0,4.9,2.9
142,22.0,4.9,2.9
143,22.0,4.8,2.9
144,22.0,4.8,2.9
145,22.0,4.8,2.9
146,22.0,4.8,2.9
147,22.0,4.8,2.9
148,22.0,4.8,2.9
149,22.0,4.8,2.9
150,22.0,4.8,2.9
151,22.0,4.8,2.9
152,22.0,4.8,2.9
153,22.0,4.8,2.9
154,11.3,7.7,5.3
155,11.3,7.7,5.3
156,11.3,7.7,5.3
157,11.3,7.7,5.3
158,11.3,7.7,5.3
159,11.3,7.7,5.3
160,11.3,7.7,5.3
161,11.3,7.7,5.3
162,11.3,7.7,5.3
163,11.3,7.7,5.3
164,11.3,7.7,5.3
165,11.3,7.7,5.3
166,7.0,11.0,5.0
167,7.0,11.0,5.0
168,7.0,11.0,5.0
169,7.0,11.0,5.0
170,7.0,11.0,5.0
171,7.0,11.0,5.0
172,7.0,11.0,5.0
173,7.0,11.0,5.0
174,7.0,11.0,5.0
175,7.0,11.0,5.0
176,7.0,11.0,5.0
177,7.0,11.0,5.0
178,7.0,11.0,5.0
179,7.0,11.0,5.0
180,7.0,11.0,5.0
181,7.0,11.0,5.0
182,7.0,11.0,5.0
183,22.0,4.8,3.0
184,22.0,4.8,3.0
185,22.0,4.8,3.0
186,22.0,4.8,3.0
187,22.0,4.8,3.0
188,22.0,4.8,3.0
189,14.6,11.9,3.8
190,14.6,11.9,3.8
191,14.6,11.9,3.8
192,14.6,11.9,3.8
193,14.6,11.9,3.8
194,14.6,11.9,3.8
195,14.6,11.9,3.8
196,14.6,11.9,3.8
197,14.6,11.9,3.8
198,14.6,11.9,3.8
199,14.6,11.9,3.8
200,14.6,11.9,3.8
201,14.6,11.9,3.8
202,14.6,11.9,3.8
203,14.6,11.9,3.8
204,14.6,11.9,3.8
205,14.6,11.9,3.8
206,14.6,11.9,3.8
207,14.6,11.9,3.8
208,14.6,11.9,3.8
209,14.6,11.9,3.8
210,14.6,11.9,3.8
211,14.6,11.9,3.8
212,14.6,11.9,3.8
213,14.6,11.9,3.8
214,14.6,11.9,3.8
215,14.6,11.9,3.8
216,14.6,11.9,3.8
217,14.6,11.9,3.8
218,14.6,11.9,3.8
219,14.6,11.9,3.8
220,14.6,11.9,3.8
221,14.6,11.9,3.8
222,14.6,11.9,3.8
223,14.6,11.9,3.8
224,14.6,11.9,3.8
225,14.6,11.9,3.8
226,14.6,11.9,3.8
227,14.6,11.9,3.8
228,14.6,11.9,3.8
229,14.6,11.9,3.8
230,14.6,11.9,3.8
231,14.6,11.9,3.8
232,14.6,11.9,3.8
233,14.6,11.9,3.8
234,14.6,11.9,3.8
235,14.6,11.9,3.8
236,14.6,11.9,3.8
237,14.6,11.9,3.8
238,14.6,11.9,3.8
239,14.6,11.9,3.8
240,14.6,11.9,3.8
241,14.6,11.9,3.8
242,14.6,11.9,3.8
243,14.6,11.9,3.8
244,14.6,11.9,3.8
245,14.6,11.9,3.8
246,14.6,11.9,3.8
247,14.6,11.9,3.8
248,14.6,11.9,3.8
249,14.6,11.9,3.8
250,14.6,11.9,3.8
251,14.6,11.9,3.8
252,14.6,11.9,3.8
253,14.6,11.9,3.8
254,14.6,11.9,3.8
255,14.6,11.9,3.8
256,14.6,11.9,3.8
257,14.6,11.9,3.8
258,14.6,11.9,3.8
259,14.6,11.9,3.8
260,14.6,11.9,3.8
261,14.6,11.9,3.8
262,14.6,11.9,3.8
263,14.6,11.9,3.8
264,14.6,11.9,3.8
265,14.6,11.9,3.8
266,14.6,11.9,3.8
267,14.6,11.9,3.8
268,14.6,11.9,3.8
269,14.6,11.9,3.8
270,14.6,11.9,3.8
271,14.6,11.9,3.8
272,14.6,11.9,3.8
273,14.6,11.9,3.8
274,14.6,11.9,3.8
275,14.6,11.9,3.8
276,14.6,11.9,3.8
277,14.6,11.9,3.8
278,22.9,4.3,3.3
279,18.5,7.4,1.3
280,18.5,7.4,1.3
281,18.5,7.4,1.3
282,18.5,7.4,1.3
283,18.5,7.4,1.3
284,18.5,7.4,1.3
285,18.5,7.4,1.3
286,18.5,7.4,1.3
287,18.5,7.4,1.3
288,18.5,7.4,1.3
289,18.5,7.4,1.3
290,18.5,7.4,1.3
291,18.5,7.4,1.3
292,18.5,7.4,1.3
293,18.6,7.4,1.3
294,18.5,7.3,1.3
295,18.5,7.3,1.3
296,18.5,7.3,1.3
297,18.5,7.3,1.3
298,18.5,7.3,1.3
299,18.5,7.3,1.3
300,18.5,7.3,1.3
301,18.5,7.3,1.3
302,18.5,7.3,1.3
303,18.5,7.3,1.3
304,18.5,7.3,1.3
305,18.5,7.3,1.3
306,18.5,7.3,1.3
307,18.5,7.6,1.4
308,10.0,10.0,1.0
309,10.0,10.0,1.0
310,10.0,10.0,1.0
311,10.0,10.0,1.0
312,10.0,10.0,1.0
313,19.5,6.7,2.8
314,19.5,6.7,2.8
315,19.5,6.7,2.8
316,19.5,6.7,2.8
317,19.5,6.7,2.8
318,19.5,6.7,2.8
319,19.5,6.7,2.8
320,19.5,6.7,2.8
321,19.5,6.7,2.8
322,19.5,6.7,2.8
323,19.5,6.7,2.8
324,19.5,6.7,2.8
325,19.5,6.7,2.8
326,19.5,6.7,2.8
327,19.5,6.7,2.8
328,19.5,6.7,2.8
329,19.5,6.7,2.8
330,19.5,6.7,2.8
331,19.5,6.7,2.8
332,19.5,6.7,2.8
333,19.5,6.7,2.8
334,19.5,6.7,2.8
335,19.5,6.7,2.8
336,19.5,6.7,2.8
337,19.5,6.7,2.8
338,19.5,6.7,2.8
339,19.5,6.7,2.8
340,19.5,6.7,2.8
341,19.5,6.7,2.8
342,19.5,6.7,2.8
343,19.5,6.7,2.8
344,19.5,6.7,2.8
345,19.5,6.7,2.8
346,19.5,6.7,2.8
347,19.5,6.7,2.8
348,19.5,6.7,2.8
349,19.5,6.7,2.8
350,19.5,6.7,2.8
351,19.5,6.7,2.8
352,19.5,6.7,2.8
353,19.5,6.7,2.8
354,19.5,6.7,2.8
355,19.5,6.7,2.8
356,19.5,6.7,2.8
357,19.5,6.7,2.8
358,19.5,6.7,2.8
359,19.5,6.7,2.8
360,19.5,6.7,2.8
361,19.5,6.7,2.8
362,19.5,6.7,2.8
363,19.5,6.7,2.8
364,19.5,6.7,2.8
365,19.5,6.7,2.8
366,19.5,6.7,2.8
367,19.5,6.7,2.8
368,19.5,6.7,2.8
369,19.5,6.7,2.8
370,19.5,6.7,2.8
371,19.5,6.7,2.8
372,19.5,6.7,2.8
373,19.5,6.7,2.8
374,19.5,6.7,2.8
375,19.5,6.7,2.8
376,19.5,6.7,2.8
377,19.5,6.7,2.8
378,19.5,6.7,2.8
379,19.5,6.7,2.8
380,19.5,6.7,2.8
381,19.5,6.7,2.8
382,19.5,6.7,2.8
383,19.5,6.7,2.8
384,19.5,6.7,2.8
385,19.5,6.7,2.8
386,19.5,6.7,2.8
387,19.5,6.7,2.8
388,19.5,6.7,2.8
389,19.5,6.7,2.8
390,19.5,6.7,2.8
391,19.5,6.7,2.8
392,19.5,6.7,2.8
393,19.5,6.7,2.8
394,19.5,6.7,2.8
395,19.5,6.7,2.8
396,19.5,6.7,2.8
397,19.5,6.7,2.8
398,19.5,6.7,2.8
399,19.5,6.7,2.8
400,19.5,6.7,2.8
401,19.5,6.7,2.8
402,19.5,6.7,2.8
403,19.5,6.7,2.8
404,19.5,6.7,2.8
405,19.5,6.7,2.8
406,19.5,6.7,2.8
407,19.5,6.7,2.8
408,19.5,6.7,2.8
409,19.5,6.7,2.8
410,19.5,6.7,2.8
411,19.5,6.7,2.8
412,19.5,6.7,2.8
413,19.5,6.7,2.8
414,19.5,6.7,2.8
415,19.5,6.7,2.8
416,19.5,6.7,2.8
417,19.5,6.7,2.8
418,19.5,6.7,2.8
419,19.5,6.7,2.8
420,19.5,6.7,2.8
421,19.5,6.7,2.8
422,19.5,6.7,2.8
423,19.5,6.7,2.8
424,19.5,6.7,2.8
425,19.5,6.7,2.8
426,19.5,6.7,2.8
427,19.5,6.7,2.8
428,19.5,6.7,2.8
429,19.5,6.7,2.8
430,19.5,6.7,2.8
431,19.5,6.7,2.8
432,19.5,6.7,2.8
433,19.5,6.7,2.8
434,19.5,6.7,2.8
435,19.5,6.7,2.8
436,19.5,6.7,2.8
437,19.5,6.7,2.8
438,19.5,6.7,2.8
439,19.5,6.7,2.8
440,19.5,6.7,2.8
441,19.5,6.7,2.8
442,19.5,6.7,2.8
443,19.5,6.7,2.8
444,19.5,6.7,2.8
445,19.5,6.7,2.8
446,19.5,6.7,2.8
447,19.5,6.7,2.8
448,19.5,6.7,2.8
449,19.5,6.7,2.8
450,19.5,6.7,2.8
451,19.5,6.7,2.8
452,19.5,6.7,2.8
453,19.5,6.7,2.8
454,19.5,6.7,2.8
455,19.5,6.7,2.8
456,19.5,6.7,2.8
457,19.5,6.7,2.8
458,19.5,6.7,2.8
459,19.5,6.7,2.8
460,19.5,6.7,2.8
461,19.5,6.7,2.8
462,19.5,6.7,2.8
463,19.5,6.7,2.8
464,19.5,6.7,2.8
465,19.5,6.7,2.8
466,19.5,6.7,2.8
467,19.5,6.7,2.8
468,19.5,6.7,2.8
469,19.5,6.7,2.8
470,19.5,6.7,2.8
471,19.5,6.7,2.8
472,19.5,6.7,2.8
473,19.5,6.7,2.8
474,19.5,6.7,2.8
475,19.5,6.7,2.8
476,19.5,6.7,2.8
477,19.5,6.7,2.8
478,19.5,6.7,2.8
479,19.5,6.7,2.8
480,19.5,6.7,2.8
