ITEM_NUMBER,DESCRIPTION,SALES_UOM,PACK_CODE,CONVERSION_FACTOR,LENGTH,WIDTH,HEIGHT,UOM_WEIGHT
BTSS001,StraightShaftTunneler,EA,PP,1,0.1,0.9,0.2,1
5103190,"VAC, ST, 14.5 FR,19CM,STD KIT",CA,CG,5,0.2,18.0,1.0,1
000270,DilatSysTprdOtwDilat,EA,PP,1,0.2,31.5,0.1,1
000271,DilatSysTprdOtwDilat,EA,PP,1,0.2,31.5,0.1,1
000288,DilatSysTprdOtwDilat,EA,PP,1,0.2,31.6,0.1,1
000289,DilatSysTprdOtwDilat,EA,PP,1,0.2,31.6,0.1,1
000290,DilatSysTprdOtwDilat,EA,PP,1,0.2,31.6,0.1,1
000291,DilatSysTprdOtwDilat,EA,PP,1,0.2,31.6,0.1,1
000272,DilatSysTprdOtwDilat,EA,PP,1,0.3,29.5,0.4,1
000273,DilatSysTprdOtwDilat,EA,PP,1,0.3,29.5,0.4,1
000274,DilatSysTprdOtwDilat,EA,PP,1,0.3,29.5,0.4,1
000275,DilatSysTprdOtwDilat,EA,PP,1,0.3,29.5,0.4,1
000277,DilatSysTprdOtwDilat,EA,PP,1,0.3,29.5,0.4,1
000278,DilatSysTprdOtwDilat,EA,PP,1,0.3,29.5,0.4,1
000279,DilatSysTprdOtwDilat,EA,PP,1,0.3,29.5,0.4,1
BTLA01,LuerAdapter,CA,PP,1,0.4,0.2,0.1,0
17820070,BoneBiopsyNeedle,EA,PP,1,0.4,3.9,3.3,1
BTW001,Wrench,EA,PP,1,0.5,0.2,0.2,0
40240610,ORingSilicone#111 Size,CA,PP,1,0.5,0.5,0.1,0
0134450,LPComposixEX4.5Round,EA,PP,1,0.5,8.5,12.8,1
U4150312RX,UltrvrseRX014PTADilatationCath,EA,PP,1,0.7,9.9,9.4,0
000002CO,CRITICORE-CUSTOMER OWNED,EA,NA,1,1.0,1.0,1.0,1
000002NCE,CRITICORE MONITOR CE MARK,EA,NA,1,1.0,1.0,1.0,1
000002R,CRITICORE MONITOR-REFURB,EA,NA,1,1.0,1.0,1.0,1
000002S,CITICORE - SERVICE POOL,EA,NA,1,1.0,1.0,1.0,1
000002SCM,CRITICORE SERV POOL W CM,EA,NA,1,1.0,1.0,1.0,1
